No.,Expression,Reading,Meaning
770,正月,しょうがつ,"New Year, New Year's Day"
771,規則,きそく,"rule, regulation"
772,うん,うん,"yes (informal), all right (ok)"
773,発音,はつおん,pronunciation
774,焼く,やく,"to bake, to grill"
775,屋上,おくじょう,rooftop
776,失礼,しつれい,"discourtesy, impoliteness; Excuse me"
777,ごみ,ごみ,"trash, garbage"
778,アフリカ,アフリカ,Africa
779,点,てん,"mark, score, grade; point, dot"
780,一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort"
781,今度,こんど,"now, this time, near future, one of these days, next time"
782,機会,きかい,"chance, opportunity"
783,建てる,たてる,to build
784,複雑,ふくざつ,"complexity, complication"
785,彼,かれ,"he, boyfriend"
786,いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --"
787,布団,ふとん,futon
788,大事,だいじ,"important, valuable, serious matter"
789,贈り物,おくりもの,a gift; a present
790,泥棒,どろぼう,thief; burglar
791,～製,～せい,made in ~
792,注意,ちゅうい,"caution, attention"
793,台風,たいふう,typhoon
794,日,ひ,"sun, sunshine, day"
795,～軒,～けん,counter for houses
796,そう,そう,"really, (is that) so; yes, right"
797,通る,とおる,"to pass (by), to go through"
798,過ぎる,すぎる,"to exceed, to go beyond"
799,レポート; リポート,レポート; リポート,report
800,葉,は,leaf
801,必要,ひつよう,necessary
802,課長,かちょう,section manager
803,地震,じしん,earthquake
804,すると,すると,"and, then"
805,止める,やめる,"to end, to stop"
806,ガラス,ガラス,"glass, pane"
807,～学部,～がくぶ,department of a university
808,厳しい,きびしい,hard; rigorous; strict
809,エスカレーター,エスカレーター,escalator
810,人口,じんこう,population
811,月,つき,moon
812,絹,きぬ,silk
813,ちっとも,ちっとも,not at all (neg. verb)
814,深い,ふかい,"deep, profound"
815,壊れる,こわれる,"to be broken, to break"
816,揺れる,ゆれる,"to shake, to sway"
817,落る,おちる,"to fall, to drop"
818,できるだけ,できるだけ,"if at all possible, as much as possible"
819,悲しい,かなしい,"sad, sorrowful"
820,中学校,ちゅうがっこう,junior high school pupil
821,ガス,ガス,gas
822,祈る,いのる,to pray; to wish
823,盛ん,さかん,"prosperous, active, thriving"
824,アルバイト,アルバイト,part-time job
825,起こす,おこす,to wake (someone) up
826,致す,いたす,-- extra-modest expression for する --
827,噛む,かむ,"to bite, to chew"
828,赤ちゃん,あかちゃん,"baby, infant"
829,浅い,あさい,"shallow, superficial"
830,うそ,嘘,lie
831,小説,しょうせつ,novel
832,親,おや,a parent
833,それに,それに,moreover; besides
834,西洋,せいよう,"the West, Western countries"
835,思う,おもう,"to think, to feel"
836,パート (タイム),パート (タイム),part time (esp. female part time employees)
837,時代,じだい,"age, period, epoch, era"
838,申し上げる,もうしあげる,"(humble)to say, to tell"
839,～式,～しき,~ ceremony; ~ style
840,出席,しゅっせきする,attendance
841,～家,～か,person who is specialized in ~
842,迎える,むかえる,to welcome; to meet; to greet
843,触る,さわる,"to touch, to feel"
844,建て,～だて,"~ storied, separate housing"
845,社長,しゃちょう,president of a company
846,動物園,どうぶつえん,zoo
847,捕まえる,つかまえる,"to catch, to arrest"
848,季節,きせつ,season (in reference to weather)
849,寄る,よる,to stop by
850,決まる,きまる,to be set; fixed (v.i.)
851,開く,ひらく,to open; to hold (an event)
852,逃げる,にげる,"to escape, to run away"
853,だから,だから,so; therefore
854,残念,ざんねん,regret; regrettable
855,畳,たたみ,tatami mat (Japanese straw mat)
856,丁寧,ていねい,"polite, courteous, careful"
857,地理,ちり,geography
858,さっき,さっき,a little while ago
859,怖い,こわい,"scary, frightening"
860,包む,つつむ,"to wrap, to cover"
861,なるべく,なるべく,"if possible, as much as possible"
862,無理,むり,"unreasonable, impossible"
863,サンドイッチ,サンドイッチ,sandwich
864,会議室,かいぎしつ,conference room
865,品物,しなもの,goods
866,人形,にんぎょう,"doll, figure"
867,利用,りよう,"use, utilization"
868,飾る,かざる,"to decorate, to adorn"
869,止める,とめる,to stop (something)
870,恥ずかしい,はずかしい,"ashamed, embarrassed"
871,いくら～ても,いくら～ても,however much one may ~
872,用事,ようじ,business to take care of; tasks; errands
873,ビル,ビル,(abbr.) building
874,けんかする,けんかする,quarrel
875,頑張る,がんばる,"to try one's best, to try hard, to persist"
876,投げる,なげる,"to pitch, to cast away"
877,故障,こしょうする,breakdown
878,力,ちから,"strength, power"
879,受ける,うける,"to take (an examination, interview, etc.); to receive"
880,気分,きぶん,"feeling, mood"
881,間違える,まちがえる,to make a mistake
882,そんな,そんな,"such, like that, that sort of"
883,星,ほし,star
884,場合,ばあい,"case, situation"
885,やっと,やっと,"at last, finally"
886,足りる,たりる,to be sufficient; to be enough
887,行う,おこなう,to carry out; to conduct (typically used in written language)
888,ぶどう,ぶどう,grapes
889,無くなる,なくなる,"to disappear, to get lost"
890,準備,じゅんびする,prepare
891,世界,せかい,world
892,住所,じゅうしょ,address; place of residence
893,再来月,さらいげつ,the month after next
894,林,はやし,"woods, forest"
895,倍,ばい,double
896,痩せる,やせる,to lose weight
897,線,せん,"line, wire"
898,戦争,せんそう,war
899,決める,きめる,to decide (v.t.)
900,調べる,しらべる,to check; to look up; to inquire; to search
901,寝坊,ねぼう,sleeping in late
902,パパ,パパ,"papa, daddy"
903,光る,ひかる,"to shine, to glitter"
904,夫,おっと,husband
905,雲,くも,cloud
906,坂,さか,"slope, hill"
907,～(て) しまう,～(て) しまう,to end up ~
908,飛行場,ひこうじょう,airport
909,柔道,じゅうどう,judo
910,決して,けっして,never
911,事務所,じむしょ,office
912,連絡,れんらく,"communication, contact, connection"
913,小学校,しょうがっこう,elementary school
914,客,きゃく,"guest, customer"
915,昔,むかし,old days; past
916,美しい,うつくしい,"beautiful, lovely"
917,捨てる,すてる,"throw away (trash), dump, discard"
918,なさる,なさる,-- honorific expression for する --
919,事,こと,"thing(s), matter(s), fact"
920,どんどん,どんどん,quickly and steadily; at a rapid pace
921,試合,しあい,"match, game, competition"
922,適当,てきとう,"fitness, suitability"
923,素晴らしい,すばらしい,wonderful; terrific
924,美術館,びじゅつかん,"art gallery, art museum"
925,文法,ぶんぽう,grammar
926,終わり,おわり,end
927,壁,かべ,wall
928,一度,いちど,"once, one time"
929,お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow
930,親切,しんせつ,kindness
931,知らせる,しらせる,to notify
932,歯医者,はいしゃ,dentist
933,熱心,ねっしん,enthusiasm
934,始める,はじめる,"to start, to begin"
935,もらう,もらう,to receive
936,泣く,なく,to cry
937,治る,なおる,to get better; to recover from illness (v.i.)
938,熱,ねつ,"fever, temperature"
939,お祭り,おまつり,festival
940,水道,すいどう,"water service, water line"
941,匂い,におい,"odor, smell"
942,ベル,ベル,bell
943,赤ん坊,あかんぼう,baby
944,おかしい,おかしい,strange; odd; funny
945,事故,じこ,accident
946,変,へん,"strange, odd"
947,辞典,じてん,"encyclopedia, reference book"
948,残る,のこる,"to remain (v.i.), to be left"
949,立てる,たてる,"to stand (something) up, to erect (something)"
950,くれる,くれる,"to give, to do for"
951,～員,～いん,member of ~
952,原因,げんいん,"cause, origin, source"
953,驚く,おどろく,"to be surprised, to be astonished"
954,いただく,頂く,-- extra-modest expression for たべる and のむ; humble expression for もらう --
955,祖母,そぼ,grandmother
956,場所,ばしょ,"place, location"
957,答,こたえ,"answer, response"
958,もちろん,もちろん,"certainly, of course"
959,漬ける,つける,"to soak, to moisten, to pickle"
960,受付,うけつけ,reception(ist) desk
961,内,うち,"within, inside"
962,スクリーン,スクリーン,screen
963,増える,ふえる,"to increase, to multiply"
964,または,または,"or, otherwise"
965,けがする,けがする,"injury (to animate object), hurt"
966,以下,いか,"less than, below"
967,選ぶ,えらぶ,to choose; to select
968,～ばかり,～ばかり,"just did ~, only"
969,心,こころ,"heart, mind"
970,～だす,～だす,to start doing ~
971,サラダ,サラダ,salad
972,届ける,とどける,to deliver (v.t.)
973,あいさつする,挨拶,greet(ing)
974,景色,けしき,"scenery, landscape"
975,確か,たしか,"if I remember correctly; certain, definite"
976,ステーキ,ステーキ,steak
977,食料品,しょくりょうひん,"foodstuff, groceries"
978,森,もり,forest
979,以内,いない,"within, less (no more) than"
980,予定,よてい,"plans, arrangement, schedule"
981,オーバー,オーバー,"overcoat; over, exceeding, exaggeration"
982,乾く,かわく,to get dry
983,石,いし,stone
984,思い出す,おもいだす,"to recall, to remember"
985,踊る,おどる,to dance
986,細かい,こまかい,"small; fine, minute"
987,塗る,ぬる,"to paint, to plaster"
988,ご主人,ごしゅじん,"(your, her) husband"
989,珍しい,めずらしい,"unusual, rare"
990,用,よう,"errand, task, business (to take care of)"
991,公務員,こうむいん,"government worker, public servant"
992,お嬢さん,おじょうさん,(someone's) daughter (polite)
993,用意,ようい,preparation
994,探す,さがす,"to search, to seek, to look for"
995,形,かたち,shape
996,運転,うんてんする,driving
997,すっかり,すっかり,"all, completely"
998,アナウンサー,アナウンサー,announcer
999,お土産,おみやげ,souvenir
1000,消しゴム,けしゴム,eraser
1001,旅館,りょかん,a Japanese inn
1002,海岸,かいがん,"coast, seashore"
1003,寂しい,さびしい,"lonely, lonesome"
1004,火,ひ,fire
1005,育てる,そだてる,to raise (v.t.); to bring up
1006,味噌,みそ,"miso, bean paste"
1007,お祝い,おいわい,"congratulation, celebration"
1008,乗り物,のりもの,vehicle
1009,案内,あんないする,"information, guidance"
1010,通う,かよう,to go back and forth; to commute
1011,連れる,つれる,"to lead, to take (a person)"
1012,技術,ぎじゅつ,"technique, technology, skill"
1013,小鳥,ことり,small bird
1014,下宿,げしゅく,"lodging, boarding house"
1015,ジャム,ジャム,jam
1016,招待,しょうたいする,invitation
1017,鏡,かがみ,mirror
1018,はず,はず,it should be so
1019,法律,ほうりつ,law
1020,進む,すすむ,"to advance, to proceed"
1021,楽む,たのしむ,to enjoy
1022,貿易,ぼうえき,trade
1023,反対,はんたい,"oppose, opposition, resistance"
1024,おる,おる,-- extra-modest expression for いる --
1025,申す,もうす,-- extra-modest (humble) expression for 言う (いう) --
1026,試験,しけん,an exam
1027,真面目,まじめ,"diligent, serious"
1028,ごらんになる,,-- honorific expression for みる --
1029,店員,てんいん,clerk; shop-employee
1030,泊まる,とまる,to stay (over night) (v.i.)
1031,よろしい,よろしい,"(hon.) good, OK, all right"
1032,今夜,こんや,"this evening, tonight"
1033,おつり,おつり,change; balance of money returned to the purchaser
1034,チェックする,チェックする,check
1035,会話,かいわ,conversation
1036,空気,くうき,"air, atmosphere"
1037,交通,こうつう,"traffic, transportation"
1038,ワープロ,ワープロ,word processor
1039,喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad"
1040,急行,きゅうこう,express train or bus
1041,皆,みな,everyone
1042,味,あじ,"flavor, taste"
1043,空港,くうこう,airport
1044,手袋,てぶくろ,glove(s)
