Expression,Meaning
指輪,(finger) ring
田舎,"rural, countryside"
見つける,"to discover, to find (v.t.)"
高校生,high school student
講義,a lecture
そんなに,"so much, like that"
昼休み,"lunch break, noon recess"
忘れ物,"lost article, something forgotten"
下りる,"to get down, to go; come down"
腕,arm (in reference to body)
訳,reason; explanation
承知,"consent, acceptance"
日記,"diary, journal"
高校; 高等学校,high school; senior high school
似る,"to resemble, to be similar"
～おわる,to finish doing ~
暖房,heating
留守,absence; not at home
割合,"rate, ratio, percentage"
寺,Buddhist temple
慣れる,to grow accustomed to
普通,common; usual
手伝う,to help
なるほど,I see; I now understand
くださる,"(hon.) to give, to confer"
息子,(humble) son
お子さん,(someone else's) child (polite)
会場,"venue, meeting place"
笑う,"to laugh, to smile"
運ぶ,"to transport, to carry"
文学,literature
光,light
お見舞い,"calling on someone who is ill, visit"
席,a seat
～様,"Mr., Mrs., Ms."
ご存じ,"knowing, acquaintance"
下る,"to descend, to drop, to fall"
字,letter; character
アジア,Asia
褒める,to praise; to say nice things
空く,"to be empty (in reference to people), to be less crowded"
あ,Ah
最も,most
合う,"to fit, to match"
～代,~ age; period
最後,"last, end"
値段,price
退院,leaving hospital
展覧会,exhibition
久しぶり,it has been a long time; for the first time in a long time
カーテン,curtain
汽車,train (steam)
遅れる,to (be) become late
見つかる,"to be found (v.i.), to be discovered"
召し上がる,-- honorific form of 食べる (たべる) and 飲む (のむ) --
太る,to gain weight
注射,injection
様,"way, manner, kind"
～おき,after every ~
最初,"beginning, first"
御～,honorable ~
安心,"peace of mind, relief"
直る,to be fixed
集める,"to collect, to gather (v.t.), to assemble"
直す,to correct (v.t.); to fix
続く,to be continued
先輩,senior members of a group
約束,"arrangement, appointment, promise"
世話,looking after; to look after
近所,neighborhood
将来,(in the) future; prospects
億,hundred million
数学,mathematics
文化,culture
払う,to pay
習慣,custom (in reference to culture)
焼ける,"to burn, to be roasted"
君,you (informal for men)
冷える,"to grow cold, to cool down"
点く,"to be started, to be switched on"
この間,"the other day, recently"
かっこう,"appearance, manner, shape, form, posture"
かまう,"to mind, to care about, to be concerned about"
続ける,"to continue, to keep up"
落す,"to drop, to lose"
明日,tomorrow
出発,departure
拝見,"(humble) (polite) seeing, look at"
割れる,to break
背中,back (of body)
新聞社,newspaper company
いじめる,"to bully, to torment"
回る、回す,"to go around, to revolve"
～君,"Mr. (junior) ~, master ~"
おっしゃる,-- honorific expression for いう --
眠い,"sleepy, drowsy"
濡れる,to get wet
倒れる,"to collapse, to break down"
スーパー (マーケット),supermarket
アクセサリー,accessory
考える,to think (about); to consider
向かう,"to face, to go towards"
自由,freedom
仕方,way (of doing something)
首,neck
程,"degree, extent"
代わり,"substitute, replacement"
失敗,"failure, mistake"
工業,(manufacturing) industry
移る,to move (from a house); to transfer (from a department); to shift
スーツケース,suitcase
ひげ,beard
研究室,the professor's office; laboratory
工場,factory
紹介,an introduction
けれど; けれども,"but, although"
舟,"ship, boat"
動く,to move
～(に) ついて,"about, concerning"
コンサート,concert
虫,insect
優しい,"kind (person), gentle (person), easy (problem)"
コンピュータ; コンピューター,computer
植える,to plant
両方,"both sides, both parties"
汚れる,to become dirty
水泳,swimming
経験,experience
勝つ,to win
砂,sand
警察,police; police station
取り替える,"to exchange, to replace"
急ぐ,"to hurry, to be in a hurry, to rush"
簡単,simple
参る,humble expression for 行く and 来る
全然,"not at all; wholly, entirely"
特別,special
復習,"review (of lessons), revision"
間に合う,to be in time for
役に立つ,"to be helpful, to be useful"
もうすぐ,very soon; in a few moments; days
真中,"middle, center"
戻る,to return (v.i.); to come back
研究,"study, research, investigation"
ケーキ,cake
草,grass
込む,to be crowded
この頃,"these days, nowadays"
訪ねる,to visit
下げる,to lower (v.t.); to hang
花見,cherry-blossom viewing
途中,"on the way, midway"
入院,hospitalization
乗り換える,"to transfer (trains), to change (bus, train, etc.)"
別れる,"to part from, to separate"
～町,the town of ~
安全,"safety, security"
看護婦,(female) nurse
見物,sightseeing
相談,consultation
ガソリンスタンド,"gas station, service station"
テニス,tennis
眠る,to sleep
上がる,"to rise, to go up"
翻訳,translation
食事,meal
おかげ,thanks or owing to
娘,daughter (humble)
湯,hot water
競争,"competition, contest"
会議,business meeting; conference
湖,lake
集まる,"to gather (v.i.), to collect"
～にくい,difficult to do ~
生活,"living, life; to live"
糸,thread
関係,"relation(ship), connection"
ピアノ,piano
～目,"number ~ sequence, ~nd; ~th"
番組,broadcast program
急,"urgent, sudden; steep"
棚,"shelves, rack"
木綿,cotton
輸出,export
タイプ,"type, style"
すり,pickpocket
うれしい,to be happy; to be glad
アルコール,alcohol
ソフト,soft; soft hat; software
神社,Shinto shrine
大分,"fairly well, to a large extent, considerably, pretty much"
楽しみ,"pleasure, joy"
趣味,hobby; pastime
電報,telegram
家内,(one's own) wife
指,finger
これから,"from now on, after this"
たまに,occasionally
社会,society
踏む,"to step on, to tread on"
～区,"~ district, ~ ward, ~ borough"
すっと,"straight, quickly"
盗む,to steal; to rob
大抵,"generally, usually"
とうとう,"finally, at last"
ガソリン,"gasoline, petrol"
鳴る,"to sound, to ring (v.i.)"
しっかり,"firmly, steady"
生きる,to live
苦い,bitter
沸く,"to boil, to grow hot"
意見,"opinion, view, idea"
やはり; やっぱり,"as I thought, absolutely"
漫画,"comic (book), cartoon"
ステレオ,stereo
医学,medical science
テキスト,text; text book
～月,month
折る,"to snap, to break; to bend"
～会,~ meeting
うかがう,to ask
聞こえる,"to be heard, to be audible"
僕,I (used by men towards those of equal or lower status)
必ず,"surely, certainly"
壊す,"to break, to break down"
怒る,to get angry; to scold angrily
床屋,barber's (shop)
オートバイ,motorcycle (lit: auto-bi(ke))
運動,exercise
止む,"to cease, to stop"
もし,if
表,surface; front; outside
大学生,"college student, university student"
運転手,driver (by occupation)
予習,preparation of lessons (for class)
心配,"worry, concern"
別,"distinction, different"
非常に,extremely; very
お宅,(someone else's) house; home -- polite word for 家 (いえ) --
柔らかい,"soft (in reference to texture), tender"
拾う,"to pick up (something), to find"
～ございます,"to be (polite), to exist"
気,"spirit, mood"
比べる,to compare
ほとんど,"mostly, almost"
つもり,"intention, plan"
郊外,"suburb, outskirts"
だめ,"useless, no good, hopeless"
売り場,place where things are sold
正月,"New Year, New Year's Day"
規則,"rule, regulation"
うん,"yes (informal), all right (ok)"
発音,pronunciation
焼く,"to bake, to grill"
屋上,rooftop
失礼,"discourtesy, impoliteness; Excuse me"
ごみ,"trash, garbage"
アフリカ,Africa
点,"mark, score, grade; point, dot"
一生懸命,"very hard (as in ""to work hard""), with utmost effort"
今度,"now, this time, near future, one of these days, next time"
機会,"chance, opportunity"
建てる,to build
複雑,"complexity, complication"
彼,"he, boyfriend"
いらっしゃる,"-- honorific expression for いく, くる, and いる --"
布団,futon
大事,"important, valuable, serious matter"
贈り物,a gift; a present
泥棒,thief; burglar
～製,made in ~
注意,"caution, attention"
台風,typhoon
日,"sun, sunshine, day"
～軒,counter for houses
そう,"really, (is that) so; yes, right"
通る,"to pass (by), to go through"
過ぎる,"to exceed, to go beyond"
レポート; リポート,report
葉,leaf
必要,necessary
課長,section manager
地震,earthquake
すると,"and, then"
止める,"to end, to stop"
ガラス,"glass, pane"
～学部,department of a university
厳しい,hard; rigorous; strict
エスカレーター,escalator
人口,population
月,moon
絹,silk
ちっとも,not at all (neg. verb)
深い,"deep, profound"
壊れる,"to be broken, to break"
揺れる,"to shake, to sway"
落る,"to fall, to drop"
できるだけ,"if at all possible, as much as possible"
悲しい,"sad, sorrowful"
中学校,junior high school pupil
ガス,gas
祈る,to pray; to wish
盛ん,"prosperous, active, thriving"
アルバイト,part-time job
起こす,to wake (someone) up
致す,-- extra-modest expression for する --
噛む,"to bite, to chew"
赤ちゃん,"baby, infant"
浅い,"shallow, superficial"
うそ,lie
小説,novel
親,a parent
それに,moreover; besides
西洋,"the West, Western countries"
思う,"to think, to feel"
パート (タイム),part time (esp. female part time employees)
時代,"age, period, epoch, era"
申し上げる,"(humble)to say, to tell"
～式,~ ceremony; ~ style
出席,attendance
～家,person who is specialized in ~
迎える,to welcome; to meet; to greet
触る,"to touch, to feel"
建て,"~ storied, separate housing"
社長,president of a company
動物園,zoo
捕まえる,"to catch, to arrest"
季節,season (in reference to weather)
寄る,to stop by
決まる,to be set; fixed (v.i.)
開く,to open; to hold (an event)
逃げる,"to escape, to run away"
だから,so; therefore
残念,regret; regrettable
畳,tatami mat (Japanese straw mat)
丁寧,"polite, courteous, careful"
地理,geography
さっき,a little while ago
怖い,"scary, frightening"
包む,"to wrap, to cover"
なるべく,"if possible, as much as possible"
無理,"unreasonable, impossible"
サンドイッチ,sandwich
会議室,conference room
品物,goods
人形,"doll, figure"
利用,"use, utilization"
飾る,"to decorate, to adorn"
止める,to stop (something)
恥ずかしい,"ashamed, embarrassed"
いくら～ても,however much one may ~
用事,business to take care of; tasks; errands
ビル,(abbr.) building
けんかする,quarrel
頑張る,"to try one's best, to try hard, to persist"
投げる,"to pitch, to cast away"
故障,breakdown
力,"strength, power"
受ける,"to take (an examination, interview, etc.); to receive"
気分,"feeling, mood"
間違える,to make a mistake
そんな,"such, like that, that sort of"
星,star
場合,"case, situation"
やっと,"at last, finally"
足りる,to be sufficient; to be enough
行う,to carry out; to conduct (typically used in written language)
ぶどう,grapes
無くなる,"to disappear, to get lost"
準備,prepare
